Grating,Wavelength,Detector Voltage
2,0.90001,-0.009582117930310118
2,1.000003,-0.0006742781959280815
2,1.100007,0.014491056840923305
2,1.199971,0.02715008866223969
2,1.299954,0.06463004286480555
2,1.399903,0.06923631279472318
2,1.499869,0.12204567035702099
2,1.599903,0.1325436742064045
2,1.699943,0.14728264949409892
2,1.799922,0.1818059154348833
2,1.89988,0.13026460656723204
2,1.999848,0.15395364571349718
2,2.099854,0.13629066352140515
2,2.199814,0.16138054431636645
2,2.299844,0.1616138810860229
2,2.399846,0.1288386187538646
2,2.499818,0.15350448814311335
2,2.599848,0.08132001498929126
